ID,LKS92-E,LKS92-N
512,735534.1061000023,251865.2800999992
513,735534.1061000023,249865.2800999992
514,735534.1061000023,247865.2800999992
515,735534.1061000023,243865.2800999992
516,735534.1061000023,240865.2800999992
517,735534.1061000023,236865.2800999992
518,735534.1061000023,233865.2800999992
519,735534.1061000023,230865.2800999992
520,735534.1061000023,229865.2800999992
521,735534.1061000023,228865.2800999992
522,735534.1061000023,225865.2800999992
523,735534.1061000023,222865.2800999992
524,735534.1061000023,219865.2800999992
525,735534.1061000023,218865.2800999992
526,735534.1061000023,212865.2800999992
527,735534.1061000023,209865.2800999992
528,734534.1061000023,309865.2800999992
529,734534.1061000023,308865.2800999992
530,734534.1061000023,303865.2800999992
531,734534.1061000023,301865.2800999992
532,734534.1061000023,297865.2800999992
533,734534.1061000023,296865.2800999992
534,734534.1061000023,295865.2800999992
535,734534.1061000023,293865.2800999992
536,734534.1061000023,292865.2800999992
537,734534.1061000023,291865.2800999992
538,734534.1061000023,286865.2800999992
539,734534.1061000023,284865.2800999992
540,734534.1061000023,283865.2800999992
541,734534.1061000023,282865.2800999992
542,734534.1061000023,279865.2800999992
543,734534.1061000023,278865.2800999992
544,734534.1061000023,276865.2800999992
545,734534.1061000023,275865.2800999992
546,734534.1061000023,268865.2800999992
547,734534.1061000023,266865.2800999992
548,734534.1061000023,265865.2800999992
549,734534.1061000023,262865.2800999992
550,734534.1061000023,261865.2800999992
551,734534.1061000023,256865.2800999992
552,734534.1061000023,249865.2800999992
553,734534.1061000023,244865.2800999992
554,734534.1061000023,239865.2800999992
555,734534.1061000023,238865.2800999992
556,734534.1061000023,237865.2800999992
557,734534.1061000023,236865.2800999992
558,734534.1061000023,231865.2800999992
559,734534.1061000023,228865.2800999992
560,734534.1061000023,226865.2800999992
561,734534.1061000023,225865.2800999992
562,734534.1061000023,223865.2800999992
563,734534.1061000023,222865.2800999992
564,734534.1061000023,219865.2800999992
565,734534.1061000023,216865.2800999992
566,734534.1061000023,212865.2800999992
567,733534.1061000023,308865.2800999992
568,733534.1061000023,303865.2800999992
569,733534.1061000023,301865.2800999992
570,733534.1061000023,300865.2800999992
571,733534.1061000023,299865.2800999992
572,733534.1061000023,293865.2800999992
573,733534.1061000023,291865.2800999992
574,733534.1061000023,287865.2800999992
575,733534.1061000023,286865.2800999992
576,733534.1061000023,282865.2800999992
577,733534.1061000023,277865.2800999992
578,733534.1061000023,266865.2800999992
579,733534.1061000023,254865.2800999992
580,733534.1061000023,247865.2800999992
581,733534.1061000023,242865.2800999992
582,733534.1061000023,238865.2800999992
583,733534.1061000023,235865.2800999992
584,733534.1061000023,228865.2800999992
585,733534.1061000023,225865.2800999992
586,733534.1061000023,222865.2800999992
587,733534.1061000023,218865.2800999992
588,733534.1061000023,217865.2800999992
589,733534.1061000023,216865.2800999992
590,733534.1061000023,214865.2800999992
591,733534.1061000023,209865.2800999992
592,732534.1061000023,308865.2800999992
593,732534.1061000023,302865.2800999992
594,732534.1061000023,292865.2800999992
595,732534.1061000023,291865.2800999992
596,732534.1061000023,287865.2800999992
597,732534.1061000023,285865.2800999992
598,732534.1061000023,272865.2800999992
599,732534.1061000023,261865.2800999992
600,732534.1061000023,253865.2800999992
601,732534.1061000023,248865.2800999992
602,732534.1061000023,246865.2800999992
603,732534.1061000023,241865.2800999992
604,732534.1061000023,239865.2800999992
605,732534.1061000023,238865.2800999992
606,732534.1061000023,237865.2800999992
607,732534.1061000023,236865.2800999992
608,732534.1061000023,235865.2800999992
609,732534.1061000023,233865.2800999992
610,732534.1061000023,223865.2800999992
611,732534.1061000023,218865.2800999992
612,732534.1061000023,215865.2800999992
613,732534.1061000023,212865.2800999992
614,732534.1061000023,209865.2800999992
615,732534.1061000023,208865.2800999992
616,731534.1061000023,357865.2800999992
617,731534.1061000023,354865.2800999992
618,731534.1061000023,351865.2800999992
619,731534.1061000023,349865.2800999992
620,731534.1061000023,303865.2800999992
621,731534.1061000023,302865.2800999992
622,731534.1061000023,301865.2800999992
623,731534.1061000023,298865.2800999992
624,731534.1061000023,294865.2800999992
625,731534.1061000023,293865.2800999992
626,731534.1061000023,292865.2800999992
627,731534.1061000023,289865.2800999992
628,731534.1061000023,288865.2800999992
629,731534.1061000023,287865.2800999992
630,731534.1061000023,286865.2800999992
631,731534.1061000023,285865.2800999992
632,731534.1061000023,284865.2800999992
633,731534.1061000023,265865.2800999992
634,731534.1061000023,264865.2800999992
635,731534.1061000023,258865.2800999992
636,731534.1061000023,249865.2800999992
637,731534.1061000023,246865.2800999992
638,731534.1061000023,245865.2800999992
639,731534.1061000023,241865.2800999992
640,731534.1061000023,231865.2800999992
641,731534.1061000023,230865.2800999992
642,731534.1061000023,228865.2800999992
643,731534.1061000023,226865.2800999992
644,731534.1061000023,218865.2800999992
645,731534.1061000023,215865.2800999992
646,731534.1061000023,209865.2800999992
647,731534.1061000023,207865.2800999992
648,730534.1061000023,358865.2800999992
649,730534.1061000023,357865.2800999992
650,730534.1061000023,351865.2800999992
651,730534.1061000023,350865.2800999992
652,730534.1061000023,349865.2800999992
653,730534.1061000023,346865.2800999992
654,730534.1061000023,344865.2800999992
655,730534.1061000023,343865.2800999992
656,730534.1061000023,299865.2800999992
657,730534.1061000023,297865.2800999992
658,730534.1061000023,289865.2800999992
659,730534.1061000023,286865.2800999992
660,730534.1061000023,275865.2800999992
661,730534.1061000023,257865.2800999992
